rowID	N170f	B150f	G100m	I180f	N110m	E270f	blank4	neat_qc2	pooled_qc2	E280m	blank1	G150f	B190m	H150m	H140f	O120f	L100f	I190f	M270m	F110m	blank2	blank3	neat_qc1	pooled_qc1	O110m	F140f	L120m	M280f
met_50	114000	1350000	7710000	210000	3560000	336000	3600000	0	2600	1840000	421000	3810000	2720000	3130000	1140000	2570000	1090000	3900000	1400000	295000	11500	4320	3710	2900	2460000	2250000	8780000	3000000
met_501	39200	170000	265000	45900	317000	140000	179000	38900	17300	115000	55500	206000	164000	148000	137000	191000	156000	245000	125000	51900	51000	16300	17400	20700	161000	145000	435000	213000
met_5012	12500	30200	60500	11300	53100	14000	30000	0	2680	23100	55100	18700	43300	41300	24300	30400	20500	65500	28500	19900	4430	5150	0	0	30100	26000	56000	34100
met_5039	665000	819000	530000	3150000	1010000	125000	76500	91400	1140000	1810000	54300	892000	29200	990000	79100	1140000	2000000	41300	1440000	1510000	30500	45700	4980	0	1010000	11700	2240000	1990000
met_5068	37700	35700	42100	43800	36500	44300	37100	48600	38400	34800	53200	38000	37000	39100	44400	35300	32700	31600	29500	37300	44400	48100	44300	44300	43300	44900	42200	39800
met_5077	49900	49000	53000	47600	49700	62800	45600	61000	44800	45200	53000	54700	48800	46400	71400	45100	45500	39000	41600	45200	52500	55400	51400	49200	55100	55300	53800	56000
met_5093	48300	90700	87100	49300	77000	44200	41100	40700	32900	48100	52500	47800	53000	42900	42400	42700	32800	42800	32700	34900	41900	36900	49600	30500	59700	53300	76100	50700
met_5104	47200	43200	41200	44500	42400	38100	43300	6690	39400	41700	52200	39300	44900	40600	10800	41000	42100	49500	35500	39400	40200	46800	49100	46400	44200	31400	38300	48400
met_5109	35900	34700	34200	34000	35100	9660	34500	3240	38400	37800	52200	37000	34700	35800	3170	38600	32700	31700	32200	32200	45100	42100	45100	43000	37900	36400	41500	38100
met_5112	40000	44400	39200	39300	37700	38500	42800	42600	39700	41200	52100	37800	42300	40700	38100	41100	38400	36300	39400	35600	47400	46700	48700	46000	48100	45300	45000	48100
met_5118	561000	323000	297000	421000	378000	367000	32000	32700	397000	389000	52000	384000	613000	286000	327000	420000	192000	310000	475000	382000	56700	54700	52900	537000	556000	323000	327000	991000
met_5148	53500	50000	48300	50100	48700	50400	55300	51700	48900	52200	51000	49500	46200	48200	39300	47400	47900	47100	40700	44400	50800	50400	58200	52700	51700	55000	47900	50800
met_5151	390000	356000	426000	506000	443000	206000	24000	28100	355000	396000	50900	244000	768000	303000	273000	344000	356000	281000	399000	201000	34600	33700	33700	406000	499000	242000	348000	695000
met_5193	133000000	108000000	161000000	85500000	68500000	149000000	2500	1920	101000000	91100000	0	119000000	139000000	70600000	73200000	105000000	104000000	68200000	69000000	125000000	0	0	0	111000000	83400000	99900000	96100000	48900000
met_5202	145000000	111000000	65600000	92900000	27400000	151000000	12300	4400	104000000	168000000	0	102000000	144000000	33000000	44100000	71600000	241000000	51600000	72500000	135000000	0	2770	2280	125000000	77300000	138000000	177000000	144000000
met_5217	25000000	22300000	42600000	20700000	23700000	31500000	0	0	27300000	26400000	0	31500000	46100000	22600000	18400000	20600000	31800000	17900000	43700000	60200000	0	0	0	35900000	20200000	55300000	17000000	17100000
met_5228	22700000	17600000	33100000	23100000	27500000	17100000	3930	3360	20100000	9430000	4370	18900000	38100000	14100000	15800000	15400000	24300000	22900000	26200000	12600000	0	0	0	24700000	10500000	16900000	18300000	19600000
met_5243	21300000	13300000	20000000	14100000	16200000	11200000	26500	263000	14300000	10800000	9870	16800000	15900000	10800000	11300000	16600000	10900000	12200000	11300000	12700000	14200	13600	13300	15800000	20100000	11600000	14000000	16200000
met_5244	10100000	18700000	13800000	11000000	8270000	8550000	2600	2170	12100000	4910000	3660	21400000	11800000	9940000	10900000	9120000	15300000	13400000	8350000	3580000	2740	0	2250	14100000	5890000	4360000	11900000	10100000
met_5247	26800000	28000000	9500000	19000000	15400000	32800000	9280	4950	15800000	15800000	0	16100000	14900000	10900000	10000000	12500000	14900000	18900000	10300000	20000000	3050	2160	1630	19400000	12200000	13600000	8490000	15400000
met_5250	19400000	8640000	12200000	10700000	6040000	8650000	0	0	7460000	5450000	2290	11300000	7430000	10300000	9280000	8850000	6300000	7630000	7690000	8150000	0	0	0	10900000	11500000	7740000	7040000	11500000
met_5254	1770000	1440000	1370000	18600000	9930000	2420000	0	0	6420000	9340000	0	1890000	14700000	6230000	8810000	9280000	14200000	10500000	12200000	1330000	0	0	0	8610000	927000	8160000	17000000	14300000
met_5260	9250000	14000000	554000	1380000	603000	7060000	7020	0	3500000	9620000	3220	857000	4430000	4660000	8230000	469000	2250000	1560000	321000	474000	3210	2700	3010	4800000	2920000	2060000	1470000	18100000
met_5274	10300000	8230000	15200000	10600000	13000000	7990000	0	0	9240000	4260000	0	8960000	17900000	6560000	7330000	7060000	11600000	10600000	12400000	6040000	0	0	0	11200000	4890000	7720000	8250000	8930000
met_5286	5690000	10600000	8400000	6620000	4530000	4600000	0	0	7010000	2450000	0	12500000	7020000	5550000	6210000	5060000	9100000	7920000	4390000	1690000	0	0	0	9360000	3160000	2190000	7370000	5890000
